questions,answers
"Define the terms ""objective function"" and ""feasible set"" in the context of optimization problems and explain why the examples given (statistical models, robots learning strategies, gas company profit decisions, and EECS department class sizes) can all be formulated as optimization problems.
","The ""objective function"" in an optimization problem is the function that is to be minimized or maximized. The ""feasible set"" is the set of all possible values of the decision variables that satisfy the constraints of the problem. All the examples given can be formulated as optimization problems because they involve making decisions to either maximize a desired outcome (like profit or credits offered) or minimize some cost, subject to certain constraints (like budget limits or resource availability).

"
"Considering the standard form of an optimization problem, define what is meant by ""inequality constraint functions"" and ""equality constraint functions"" and provide the general form of these constraints.
","Inequality constraint functions are functions that define the bounds within which the optimization variables must lie, often represented as ""f_i(x) ≤ 0"" for each i from 1 to m. Equality constraint functions are functions that define specific values that the optimization variables must satisfy, often represented as ""h_j(x) = 0"" for each j from 1 to p. The general form of these constraints is given by the expressions ""f_i(x) ≤ 0"" for inequality constraints and ""h_j(x) = 0"" for equality constraints, where x represents the vector of optimization variables.

"
"In the context of the ""Oil and Gas"" example, the solution to the optimization problem is given as (x₁*, x₂*) = (0,10⁵). Explain the reasoning behind this solution in terms of the objective function and the constraints of the problem.
","The solution to the ""Oil and Gas"" example is reasoned based on maximizing the objective function ""1/10 x₁ + 1/5 x₂"" subject to the constraints x₁ ≥ 0, x₂ ≥ 0, and x₁ + x₂ = 10⁵. Since the objective function increases with x₂ and gasoline sells for more than jet fuel, to maximize profit, the company should allocate all barrels to gasoline production, hence (x₁*, x₂*) = (0,10⁵), where no barrels are allocated to jet fuel and all 10⁵ barrels are refined into gasoline.

"
"Explain how the new business need constraints, ""x₁ ≥ 10³"" and ""x₂ ≥ 5⋅10²"", affect the initial optimization problem and why certain constraints become redundant after including these new constraints.
","The new business need constraints ""x₁ ≥ 10³"" and ""x₂ ≥ 5⋅10²"" specify minimum production requirements for jet fuel and gasoline, respectively. These constraints affect the initial optimization problem by introducing additional lower bounds on x₁ and x₂. After adding these new constraints, the original constraints ""x₁ ≥ 0"" and ""x₂ ≥ 0"" become redundant because any solution that satisfies ""x₁ ≥ 10³"" and ""x₂ ≥ 5⋅10²"" will automatically satisfy ""x₁ ≥ 0"" and ""x₂ ≥ 0"". Therefore, these less restrictive constraints can be removed without changing the feasible set.

"
"Describe how the transportation constraint ""10 x₁ + 30 x₂ ≤ 2⋅10⁶"" is derived and incorporated into the optimization problem, considering the distances to the refineries and the transportation limit.
","The transportation constraint ""10 x₁ + 30 x₂ ≤ 2⋅10⁶"" is derived based on the transportation limit of ""2⋅10⁶ barrel-miles"" and the distances to the refineries (10 miles for the jet fuel refinery and 30 miles for the gasoline refinery). It is incorporated into the optimization problem by multiplying the number of barrels of each fuel type by its respective distance to the refinery to calculate the total barrel-miles for transportation. This constraint ensures that the total barrel-miles for transporting the refined fuels do not exceed the transportation limit. It is added to the existing set of constraints in the optimization problem to ensure that the solution is not only profitable but also feasible in terms of transportation logistics."
"Define the least squares optimization problem and describe what parameter vector it attempts to find.
","The least squares optimization problem is defined mathematically as finding a parameter vector $\vec{x} \in \mathbb{R}^{n}$ which minimizes the residual $\|A \vec{x}-\vec{y}\|_{2}^{2}$, where $A \in \mathbb{R}^{m \times n}$ is a given data matrix and $\vec{y} \in \mathbb{R}^{m}$ is a vector of outcomes. The problem attempts to find the parameter vector that makes $A \vec{x}$ as close as possible to $\vec{y}$ in the Euclidean norm sense.

"
"State Theorem 4 regarding the least squares solution and pose a question about the conditions under which it applies.
","Theorem 4 states that if $A \in \mathbb{R}^{m \times n}$ has full column rank and $\vec{y} \in \mathbb{R}^{m}$, then the solution to the least squares optimization problem $\min _{\vec{x} \in \mathbb{R}^{n}}\|A \vec{x}-\vec{y}\|_{2}^{2}$ is given by $\vec{x}^{\star}=\left(A^{\top} A\right)^{-1} A^{\top} \vec{y}$. The question is: What does it mean for matrix $A$ to have full column rank, and why is this condition important for the solution of the least squares problem to be given by the formula in Theorem 4?

"
"Explain the geometric intuition behind the proof of Theorem 4 and ask a question about the role of the orthogonal projection in the least squares solution.
","The geometric intuition behind the proof of Theorem 4 involves finding the point $\vec{z} \in \mathcal{R}(A)$ that is the orthogonal projection of $\vec{y}$ onto $\mathcal{R}(A)$. The vector $\vec{e} = \vec{y} - \vec{z}$ is then orthogonal to any vector in $\mathcal{R}(A)$. Using the Pythagorean theorem, it's shown that $\vec{z}$ is the closest point to $\vec{y}$ within $\mathcal{R}(A)$. The question is: What is the role of the orthogonal projection of $\vec{y}$ onto $\mathcal{R}(A)$ in determining the least squares solution $\vec{x}^{\star}$, and how does orthogonality ensure that $\vec{z}$ is the closest point to $\vec{y}$ in $\mathcal{R}(A)$?

"
"Describe the process of using least squares for linear regression with an affine model and ask a question about how this applies to noisy or inconsistent data.
","In the context of linear regression, least squares is used to fit an affine model $y = mx + b$ to a given set of data points $\left(x_{1}, y_{1}\right), \ldots,\left(x_{n}, y_{n}\right)$. This corresponds to approximately solving a system of equations represented in matrix form. When the data is noisy or inconsistent with the affine model, the system will be overdetermined and have no exact solutions. In such cases, least squares is used to find an approximate solution, which is the line of best fit. The question is: How does the least squares method find an approximate solution when dealing with an overdetermined system due to noisy or inconsistent data?

"
"Explain the significance of convexity in optimization problems and pose a question regarding the ease of solving convex problems such as least squares.
","Convexity in optimization problems is significant because any local optimum in a convex problem is a global optimum. This property allows for a variety of simple techniques to be used to find global optima, making convex problems easier to solve. The question is: Why are convex problems, including least squares, considered easy to solve in comparison to non-convex problems, and what implication does the convex nature have on the search for optimal solutions?"
