,prompt,response
0,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Denise adds 5 bananas to a ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Denise adds 5 bananas to a iced banana [/INST]  Denise adds 5 bananas to a iced banana drink. At lunch Denise eats 49 bananas, but all 4 of them are gone. How many bananas do Denise have left? </s>"" </s>"" </s>"" </s>"" > </s>"" )  Denise adds 5 bananas to a iced banana drink. At lunch Denise eats 49 bananas, but all 4 of them are gone. How many bananas do Denise have left? How many bananas do Denise eat later in the day? </s>"" </s>"" </s>"" > </s>"" > 109 total calories and 17 cups of bananas. How much food did Denise eat in total? </s>"" </s>"" </s>"" > </s>"" [INST]  Denise has 6 cups of brownies and 4 brownies later in the day. How"
1,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rishira's colleague made 55 cookies. She ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rishira's colleague made 55 cookies. She iced [/INST]  Rishira's colleague made 55 cookies. She iced 6 and added 20 more to her batch. How many cookies does Rishira have? </s>"" > </s>""  Rishira's colleague made 55 cookies. She iced 6 and added 20 more to her batch. How many cookies does Rishira have? The friend made 36 cookies and gave Rishira 12 of the cookies. How many cookies does Rishira have now? </s>"" </s>"" </s>""  How many cookies does Rishira have now? Rishira has 25 cookies but her friend made 21 cookies? How many cookies does Rishira have now? </s>"" </s>"" </s>"" How many cookies does Rishira have now? Rishira has 25"
2,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rangith has 19 boxes and ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rangith has 19 boxes and  Susy has 15 more boxes [/INST]  Rangith has 19 boxes and  Susy has 15 more boxes and he gave Susy 4 boxes. How many boxes does he have now? </s>"" > </s>"" >  Rangith has 19 boxes and he gave Susy 4 boxes. How many boxes does he have now? How many boxes does he have if Susy has 56 boxes? </s>"" > </s>"" > How many boxes does he have if Susy has 56 boxes? How many boxes does he have if Susy has 56 boxes and all of them box boxes have 15 boxes? </s>"" </s>"" </s>"" > How many boxes does he have if Susy has 56 boxes? How many boxes does he have if Susy has 56 boxes and all of them box have"
3,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 6 tennis balls in ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 6 tennis balls in  [/INST]  There are 6 tennis balls in the table and Kamal took 3 of them. How many tennis balls are in the table? </s>""  There are 6 tennis balls in the table and Kamal took 3 of them. How many tennis balls are in the table? If he took 5 more balls, how many would be in the table total? </s>"" </s>"" How many tennis balls are in the table? If he took 5 more balls, how many would be in the table total? How many balls are there total? How many balls are in the table total? How many balls are in the table total? </s>"" How many balls are in the table total? How many balls are in the table total? </s>"" How many balls are in the table total? How many balls in the table"
4,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 1 stamp costs 34 cents. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 1 stamp costs 34 cents.  [/INST]  1 stamp costs 34 cents. 7 cents for each individual stamp. What is the total per stamp? </s>"" > </s>""  1 stamp costs 34 cents. 7 cents for each individual stamp. What is the total per stamp? If there are 469 total stamps then the cost of 469 stamps is 46 cents each. How many stamps are there total? </s>"" </s>"" </s>"" How many stamps are there total? If there are 469 total stamps then the cost of 469 stamps is 46 cents each. How many stamps are there total? If there are 1245 total stamps then how many stamps are there total? </s>"" </s>"" } } } } </s>"" How many stamps are there total? If there are 1245 total stamps then how many stamps are there total"
5,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mom wanted to plant potato seedlings. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mom wanted to plant potato seedlings.  Mom wanted to plant potato seedlings.. She started with 3 tubs [/INST]  Mom wanted to plant potato seedlings. She started with 3 tubs each of 50 seeds. Mom used 6 tubs and the extra tubs. How many tubs does Mom need to plant 42 seedlings to have 42 seedlings? </s>"" > </s>"" > </s>"" > </s>"" > </s>"" >

RAW Paste Data


using math words, using English language, Create a math word problem starting with Tom wanted to plant 48 yellow bag hops on a big wheat field. She started with 9 tubs each. How many tubs does she need to plant 12 seedlings? </s>"" > </s>"" > How many tubs does Tom need to plant 42 seedlings to have"
6,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A woman is three times as ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A woman is three times as  as old as [/INST]  A woman is three times as old as her friend. Her friend is 2 times as old as her. How old is each woman? </s>""  </s>"" How old is each woman? </s>"" How old is each friend? </s>"" </s>"" How old is each woman? </s>"" </s>"" How old is each friend? </s>"" </s>"" How old is each friend? </s>"" </s>"" How old is each friend? </s>"" </s>""  How old is each friend? </s>"" </s>"" How old is each friend? </s>"" </s>"" How old is each friend? </s>"" </s>"" </s>"" 7 Problems

If the sum of the individual ages is 56, how old is each woman"
7,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mike has 87 baseball cards. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mike has 87 baseball cards.  [/INST]  Mike has 87 baseball cards. He gave Jim 56 of his cards. How many baseball cards does Mike have now? </s>"" > </s>"" )  Mike has 87 baseball cards. He gave Jim 56 of his cards. How many baseball cards does Mike have now? How many cards does Mike have when Jim retired? How many cards does Jim have now? </s>"" > </s>"" How many baseball cards does Jim have now? How many baseball cards does Jim have now? How many cards does Jim have now? </s>"" </s>"" How many baseball cards does Jim have now? How many cards does Jim have now? </s>"" How many cards does Jim have now? </s>"" How many baseball cards does Jim have now? </s>"" How many cards does Jim have now? How many"
8,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Last year at Newberg's airport, 14507 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Last year at Newberg's airport, 14507 ____ passengers entered the [/INST]  Last year at Newberg's airport, 14507 ____ passengers entered the bus and 9986 departed the bus. If a passenger departed the bus at 10:30pm last week and arrived at the airport at 8pm this morning, how many hours did he spend at Newberg's airport? </s>"" > </s>"" > </s>""  Last year at Newberg's airport, 14507 ____ passengers entered the bus and 9986 departed the bus. If a passenger departed the bus at 10:30pm last week and arrived at the airport at 8pm this morning, how many hours did he spend at Newberg's airport? If the bus had been full for 5 hours, and then full again for 6 hours, how many hours did passengers use the"
9,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A bus has 14 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A bus has 14 _____ [/INST]  A bus has 14 _____ passengers. The passengers are 12 girls and 6 boys. How many buses do they have together? </s>"" > </s>"" )  A bus has 14 _____ passengers. The passengers are 12 girls and 6 boys. How many buses do they have together? In total? If 7 boys are on the bus, how many girls are on the bus? </s>"" > </s>"" </s>""  A bus has 14 _____ passengers. The passengers are 12 girls and 6 boys. How many buses do they have together? In total? If 7 boys are on the bus, how many girls are on the bus? If the bus has 18 boys on board, how many girls are on board? If they all boarded in one row, how many girls are on board? In total"
