,prompt,response
0,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Denise adds 5 bananas to a ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Denise adds 5 bananas to a iced tea [/INST]  Denise adds 5 bananas to a iced tea bag. Later, she adds 9 more bananas to the tea. How many bananas did Denise add to the tea? </s>"" </s>"" </s>"" </pre> <s>""How many bananas did Denise add to the tea? </pre>"" </pre>"" </s>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"" </pre>"""
1,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rishira's colleague made 55 cookies. She ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rishira's colleague made 55 cookies. She  [/INST]  Rishira's colleague made 55 cookies. She decided to put 3 more cookies in the bag. How many cookies can she put in there? </s>""  Rishira's colleague put in 23 bags. How many bags did she put in there? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
2,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rangith has 19 boxes and ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Rangith has 19 boxes and  [/INST]  Rangith has 19 boxes and  Ravi has 8 fewer boxes than Rangith. How many boxes does Ravi have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How many boxes does Ravi have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
3,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 6 tennis balls in ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with There are 6 tennis balls in  [/INST]  There are 6 tennis balls in  There are 12 tennis balls in the cupboard and Mary took 5 tennis balls out of the cupboard. How many tennis balls are there now? </s>"" ""There are 6 tennis balls in the cupboard and Mary took 5 tennis balls out of the cupboard. How many tennis balls are there now? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
4,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 1 stamp costs 34 cents. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with 1 stamp costs 34 cents.  1 stamp costs 34 cents. Find out what a dollar is worth. </s>""  1 stamp costs 34 cents. Find out what a dollar is worth. </s>"" </s>"" }, { ""implicit precision"" : 4.6666666666666667, ""numpoints"" : 25, ""displaystyle"" : ""There is 27.33333333333 cents in 13 dollars. What is the total of 37.333333 dimes and nickels? </displaystyle>"" }, { ""implicit precision"" : 4.6666666666666667, ""numpoints"" : 25, ""displaystyle"" : ""There is 27.33333333333 cents in 13 dollars. What is the total of 37"
5,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mom wanted to plant potato seedlings. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mom wanted to plant potato seedlings.  Mom bought 85 seedlings [/INST]  Mom wanted to plant potato seedlings. She bought 85 seedlings. She wanted to plant 48 rows of seedlings. How many rows of seedlings did she have to plant? </s>"" <s>""How many rows of seedlings did she have to plant?"" </s>"" </s>"" </s>"" </s>"" </s>"" <s>""How many rows of seedlings did she have to plant? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </"
6,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A woman is three times as ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A woman is three times as ____ as her [/INST]  A woman is three times as ____ as her eldest daughter. In eight years she will become twice as old as the eldest daughter. How old is she now? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
7,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mike has 87 baseball cards. ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Mike has 87 baseball cards.  Mike [/INST]  Mike has 87 baseball cards. Ben has 22 less than Mike. How many baseball cards does Ben have? </s>""  Mike has 87 baseball cards. Ben has 22 less than Mike. How many baseball cards does Ben have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"""
8,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Last year at Newberg's airport, 14507 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with Last year at Newberg's airport, 14507  [/INST]  Last year at Newberg's airport, 14507 people flew in and out. Of those 14507, 9487 flew in everyday. How many flew in and out every day? </s>""  Last year at Newberg's airport, 14507 people flew in and out. Of those 14507, 9487 flew in everyday. How many flew in and out every day? </s>"" </s>"" </s>"" > Find the total number of people who flew in and out every day in 2015? </s>"" > Find the total number of people who flew in and out every day in 2015? </s>"" </s>"" </s>"" </s>"" </s"
9,"""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A bus has 14 ","""<s> [INST] Considering math constraints and units, using English language, Create a math word problem starting with A bus has 14 urchins [/INST]  A bus has 14 urchins and passengers have 12 urchins each. How many urchins do passengers have? </s>"" -Answer: 4. How many urchins do passengers have? </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s>"" </s"
